#,Game Name,Total Visit Count,Game Name (de-emojify)
389,Let's Party∞ +Gear Testing Edition[READ THE DESC],41271464,Let's Party∞ +Gear Testing Edition[READ THE DESC]
390,[ALPHA] PolySonic RP,41237553,[ALPHA] PolySonic RP
391,Boxing League 🥊,41226312,Boxing League 🥊
392,Wild Savanna (W.I.P),41036119,Wild Savanna (W.I.P)
393,Island Life,41017461,Island Life
394,Hotel Stories,40767663,Hotel Stories
395,Bird Simulator,40681319,Bird Simulator
396,Mermaid Life,40676693,Mermaid Life
397,🔥🚘Gas Station Simulator,40647275,🔥🚘Gas Station Simulator
398,Time Travel Adventures,40586112,Time Travel Adventures
399,Arcane Adventures [BROKEN],40465104,Arcane Adventures [BROKEN]
400,Horse Valley Legacy,40326197,Horse Valley Legacy
401,😈CODE: DEMON ⚔️ Boss Fighting Simulator,40089158,😈CODE: DEMON ⚔️ Boss Fighting Simulator
402,🕵️ [MAFIA] Military Simulator,39994955,🕵️ [MAFIA] Military Simulator
403,High School Dorm Life (Fixed),39938181,High School Dorm Life (Fixed)
404,Blox Royale Tycoon,39914086,Blox Royale Tycoon
405,🐍 Slime Factory Tycoon,39878898,🐍 Slime Factory Tycoon
406,Elemental Wars [Read Description],39768287,Elemental Wars [Read Description]
407,Cook Burgers,39737744,Cook Burgers
408,The Labyrinth,39312116,The Labyrinth
409,Wizard Simulator,39026198,Wizard Simulator
410,Mad Paintball [FPS],38978115,Mad Paintball [FPS]
411,Roblox Creator Challenge,38873236,Roblox Creator Challenge
412,[CURRENTLY BEING REVAMPED] Tower of Hell - Medium,38746221,[CURRENTLY BEING REVAMPED] Tower of Hell - Medium
413,Battle As A Giant Boss,38700836,Battle As A Giant Boss
414,Climb 2000 Stairs to VIP,38684001,Climb 2000 Stairs to VIP
415,[Code: BREAD] Speed Simulator X,38562511,[Code: BREAD] Speed Simulator X
416,FNaF : Support Requested,38455421,FNaF : Support Requested
417,Dragon Ball Tycoon,38367091,Dragon Ball Tycoon
418,The Final Stand 2 [5.3] Easter update!,38333415,The Final Stand 2 [5.3] Easter update!
419,Book of Monsters,38193670,Book of Monsters
420,Greenwood Town [Classic],38105602,Greenwood Town [Classic]
421,Blockate,37759355,Blockate
422,Weight Lifting Simulator 3,37754118,Weight Lifting Simulator 3
