,game_id,game_title,video_name,yt_views,yt_likes,yt_comments,yt_thumbnail,video_url,pub_date
177,648454481,[update 3.5] grand piece online,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
148,1348402608,season 4  anime fighting simulator,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
127,1613532065,blox life!  ,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
8,2383988292,[world28]   beeface: be a bee!,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
87,1128795217,[dogs!] welcome to farmtown! [beta],How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
121,1016936714,new update your bizarre adventure,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
91,2530837063, cooking simulator,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
180,2566300911,factory simulator [closed temporaily],How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
97,2387288336,[read desc pls] basically fnf,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
111,2400226697,horror factory tycoon,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
